municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Robledo de Chavela,0.39370078740157477,0.6914518688676983,0.54,0.6892800000000001,0.69,0.6184068371168752,0.5256789031402035,0.6,0.52
Robregordo,,0.6972087880292378,,0.6000000000000001,0.79,0.6873188636526844,0.5,0.63,
Rozas de Puerto Real,5.6818181818181825,0.672004946315759,0.9,0.6644400000000001,0.67,0.7863618940257484,0.5742784380305603,0.77,0.54
San Martín de Valdeiglesias,0.17433751743375173,0.6684236621170369,0.51,0.68922,0.59,0.5844679559774164,0.5423601604909134,0.59,0.52
Santa María de la Alameda,,0.6709201666562425,,0.71382,0.6,0.65053511910137,0.581520219251636,0.67,
Serna del Monte (La),,0.6855599412279907,,0.6352800000000001,0.6,0.8032077364330366,0.6556064073226544,0.84,
Somosierra,,0.6534654603300604,,0.7000200000000001,0.79,0.585114402973244,0.6697368421052632,0.69,1.0
Torremocha de Jarama,,0.6639728062679274,,0.6679200000000001,0.81,0.5748446316927576,0.5454957927734697,0.58,0.6
Valdemanco,,0.6703216288556787,,0.732,0.69,0.6195101866599002,0.5437361008154189,0.62,
Valdemaqueda,,0.6456651358340414,,0.67386,0.55,0.5826819225778772,0.5782975958414555,0.61,
Villa del Prado,0.20764119601328904,0.6647809375745196,0.52,0.657,0.56,0.5891060028723187,0.5539182853315472,0.6,0.51
Villamanrique de Tajo,,0.6573055473028908,,0.6231599999999999,0.57,0.596706225159995,0.5875079264426125,0.63,
Villavieja del Lozoya,,0.6898103759619957,,0.7034400000000001,0.75,0.6086414316664608,0.5478838849701574,0.61,0.54
Zarzalejo,,0.6712247750555048,,0.72834,0.57,0.7129526725931115,0.5297927461139896,0.68,0.52
