municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Fresno de Torote,,0.6711202512911123,,0.6698039215686276,0.76,0.505383672312848,0.5501482354919057,0.53,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.679132961123956,0.62,0.6773529411764706,0.65,0.558271654926783,0.5514994522867455,0.55,0.59
Galapagar,0.21236833163438668,0.6847879719517369,0.54,0.6712745098039217,0.62,0.6078233555989274,0.7560150062384148,0.68,0.6
Griñón,0.40431266846361175,0.6791001055974208,0.58,0.700343137254902,0.75,0.5178542967065245,0.5367585762250267,0.53,0.89
Guadalix de la Sierra,0.2181500872600349,0.6743631291896941,0.58,0.6987745098039218,0.73,0.8859947769873568,0.775994133618966,0.83,0.6
Guadarrama,0.27183762232693,0.6796465480129652,0.61,0.6473529411764707,0.65,0.5577864702280884,0.6417694995024803,0.6,0.7
Hoyo de Manzanares,0.17667844522968196,0.6765077461920684,0.7,0.6620588235294118,0.71,0.5426991862502455,0.6074391237065613,0.57,
Loeches,0.2767017155506365,0.6645705313354806,0.58,0.6798529411764707,0.86,0.5013302847049563,0.5210754689263183,0.51,0.53
Manzanares el Real,0.14602803738317757,0.6733516921351093,0.64,0.6481372549019608,0.64,0.7286051175380039,0.7235207308598695,0.73,0.54
Meco,0.08585164835164835,0.6744286205522294,0.66,0.6724509803921569,0.76,0.504507375601732,0.5727172191282522,0.54,0.54
Miraflores de la Sierra,0.463821892393321,0.6747485326630187,0.8,0.6208333333333333,0.69,0.7472510985253709,0.6132961652923263,0.68,0.5
Molar (El),0.14509576320371445,0.6644334637809639,0.72,0.6518627450980393,0.71,0.5560667343491446,0.6430359579840912,0.6,0.53
Molinos (Los),0.4118616144975287,0.6734041162932594,0.58,0.6817647058823529,0.57,0.5236786462424443,0.596362392144111,0.56,0.55
Moraleja de Enmedio,0.25773195876288674,0.6855706443309947,0.88,0.6722549019607844,0.72,0.5273358812566096,0.6108141363576087,0.57,0.57
Moralzarzal,0.20128824476650564,0.6679141303978783,0.58,0.6999509803921569,0.64,0.7114562534547582,0.8979654143162445,0.8,0.59
Morata de Tajuña,0.19319938176197834,0.6827403666534764,0.53,0.6973039215686275,0.79,0.5234939832285608,0.5761503527987496,0.55,0.69
Navacerrada,0.536480686695279,0.6533645756475258,0.67,0.6599509803921568,0.54,0.5645343763341721,0.6318764299742403,0.6,0.56
Navalafuente,,0.6731014370714017,,0.6704411764705882,0.84,0.5900647977303051,0.6883044578019901,0.64,0.6
Navalagamella,,0.6722821816615321,,0.6261764705882353,0.64,0.5125743151360609,0.5423232702121124,0.53,0.52
Navalcarnero,0.22404779686333084,0.6678356719496367,0.58,0.6704901960784314,0.53,0.5095314993990674,0.5666251118436743,0.54,0.66
Navas del Rey,0.5,0.6654490395146484,0.68,0.6640686274509804,0.62,0.7391642452957146,0.6114800228788226,0.67,0.78
Nuevo Baztán,0.4807692307692307,0.6657215665155621,0.56,0.6571568627450981,0.55,0.6394466450651488,0.695452014286263,0.67,
Olmeda de las Fuentes,,0.6952178998476273,,0.7721568627450982,0.66,0.5803984458204512,0.6095879545379747,0.59,0.72
Orusco de Tajuña,,0.6512507277048346,,0.7813235294117648,0.82,0.9486364075599356,0.789300204392135,0.87,1.0
Pedrezuela,,0.6727026315411411,,0.6904411764705882,0.52,0.5210969086724526,0.5492440000918164,0.53,0.75
Perales de Tajuña,0.4798464491362765,0.6710984248707725,0.71,0.7480882352941177,0.69,0.5451880794141433,0.5421980967115844,0.54,
Pezuela de las Torres,,0.6680125062503628,,0.625,0.53,0.5749453794075314,0.6345972159453941,0.6,0.59
Pozuelo del Rey,,0.657627495082389,,0.6404901960784314,0.61,0.669439678857124,0.7677327346187979,0.72,
Quijorna,,0.6913272145808151,,0.7033333333333334,0.6,0.5456366840284106,0.6090040265602064,0.58,0.63
Redueña,,0.6880888828590899,,0.6667156862745098,0.62,0.5379851389886752,0.5775746878948357,0.56,
Ribatejada,,0.6698265349273438,,0.6543137254901962,0.69,0.797338799893242,0.9135603621600604,0.86,0.77
San Agustín del Guadalix,0.09002520705797624,0.6754248284974014,0.79,0.6449019607843137,0.64,0.5461451076036519,0.5796524063106159,0.56,0.62
San Lorenzo de El Escorial,2.5773697063384606,0.6740257057350989,0.91,0.6772549019607843,0.87,0.6141375122528205,0.5732074285212099,0.59,0.77
San Martín de la Vega,1.4457107126025284,0.6718464317983031,0.74,0.6665196078431372,0.74,0.5238839565031601,0.5794672279234044,0.55,0.55
Santorcaz,,0.662143211219748,,0.655,0.54,0.5897765437303664,0.6554260454988863,0.62,0.57
Santos de la Humosa (Los),,0.6769380437196807,,0.6192156862745097,0.62,0.5421906611676868,0.6190362113053858,0.58,
Serranillos del Valle,,0.6730566606291428,,0.7287745098039217,0.6,0.5324292015690815,0.6442363400342593,0.59,0.69
Sevilla la Nueva,0.13513513513513514,0.6847980978893777,0.59,0.6800490196078431,0.66,0.592780125201015,0.7055889023432961,0.65,0.78
Soto del Real,0.3620564808110065,0.6889654507836555,0.69,0.6710784313725491,0.67,0.5447274145715177,0.5908304420446284,0.57,0.59
Talamanca de Jarama,,0.6669899079856091,,0.6768627450980392,0.85,0.5379977059010874,0.5771470311974338,0.56,0.84
Tielmes,0.5434782608695653,0.6841056583967051,0.79,0.6678921568627452,0.62,0.521837734155139,0.5746886973041464,0.55,0.95
Titulcia,1.1848341232227488,0.6437482105342773,0.83,0.6257843137254901,0.53,0.5927109127976431,0.631955015246112,0.61,
Torrejón de Velasco,0.2815315315315315,0.6580531274987911,0.71,0.6244607843137255,0.59,0.5669916368314256,0.6845981733622182,0.63,
Torrelaguna,0.5875440658049352,0.6757764679640297,0.78,0.7036274509803923,0.63,0.631758617702749,0.6686733156050005,0.65,0.58
Torres de la Alameda,0.1874062968515742,0.6776493297497413,0.59,0.655686274509804,0.61,0.5328154884096787,0.7021578805948839,0.62,0.75
Valdaracete,,0.6431396739918436,,0.6607843137254903,0.58,0.6269803917957244,0.7437414054645194,0.68,
Valdeavero,0.8038585209003215,0.6342360940167031,1.0,0.631078431372549,0.55,0.606179290056513,0.6654017964867505,0.64,
Valdelaguna,,0.6778699254778814,,0.7249509803921569,0.6,0.6928589260535785,0.7592763299725401,0.73,0.55
Valdemorillo,0.10584250635055037,0.6666676722772326,0.62,0.645686274509804,0.58,0.5870877662379632,0.5893445434496979,0.59,
Valdeolmos-Alalpardo,0.26881720430107525,0.673176642678448,0.6,0.6633333333333333,0.77,0.5518794925596218,0.5945460479728271,0.57,0.52
Valdepiélagos,,0.6796012008403722,,0.6157352941176472,0.78,0.5456587781414446,0.5432223310173285,0.54,
Valdetorres de Jarama,0.32383419689119175,0.6409993122906893,0.61,0.6600980392156863,0.62,0.6191749983655523,0.7172291423051502,0.67,0.61
Valdilecha,0.45620437956204374,0.6621729783024736,0.67,0.6847549019607844,0.64,0.6099632780876059,0.6189206899802484,0.61,
Valverde de Alcalá,,0.6736638565784804,,0.6793627450980393,0.53,0.6172146467890223,0.6812736140264231,0.65,0.83
Vellón (El),,0.6703356182018718,,0.6000000000000001,0.64,0.566102263142344,0.5943405626661276,0.58,0.66
Venturada,,0.6640528483372382,,0.6485784313725491,0.59,0.5,0.6199067122793823,0.56,0.53
Villaconejos,0.470809792843691,0.6720345368589673,0.69,0.6340196078431373,1.0,0.5902838264472647,0.7613067557811792,0.68,0.52
Villalbilla,0.0724217844727694,0.6171144827783694,0.57,0.6481372549019608,0.5,0.6880401122887339,0.8121084460239321,0.75,0.58
Villamanta,0.573394495412844,0.6749064454451821,0.63,0.6806862745098039,0.81,0.5419241859835862,0.5540528128668446,0.55,0.83
Villamantilla,,0.6589988322356064,,0.6293627450980392,0.57,0.6376896899373812,0.7412059870023946,0.69,0.62
Villanueva de Perales,,0.6754483777954348,,0.6750490196078431,0.64,0.6059181044247961,0.5942538050579305,0.6,
Villanueva de la Cañada,1.7591687889007155,0.6846254106699574,0.75,0.6541666666666668,0.59,0.5629331415769967,0.6817429483687463,0.62,0.62
Villar del Olmo,,0.6738785452442376,,0.7233333333333334,0.96,0.5712809912752708,0.554153696386477,0.56,0.57
Villarejo de Salvanés,0.5822981366459627,0.6901346776014411,0.67,0.669607843137255,0.69,0.5558898764004763,0.6618331619763124,0.61,0.51
