municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Hoyo de Manzanares,0.17667844522968196,0.6761496618991087,0.71,0.7741888384166127,0.5498806687813237,0.6029099456697333,0.58,
Loeches,0.2767017155506365,0.6577947355906437,0.58,0.7445976638546399,0.5218006222502786,0.5147414458231938,0.52,0.53
Manzanares el Real,0.14602803738317757,0.6777540512882931,0.64,0.7953601557430241,0.7216982832134177,0.7360990850782883,0.73,0.54
Meco,0.08585164835164835,0.670056400732999,0.66,0.7594905905256327,0.5060308858111535,0.5653290601389036,0.54,0.54
Miraflores de la Sierra,0.463821892393321,0.6734431745644681,0.8,0.6793316028552888,0.7403397292436024,0.6116089974515629,0.68,0.5
Molar (El),0.14509576320371445,0.6641259197896277,0.72,0.7519954574951331,0.5291436246127711,0.6241622729721947,0.58,0.53
Molinos (Los),0.4118616144975287,0.6752295022802041,0.58,0.8668072680077872,0.5200370384197269,0.5888906671013595,0.55,0.55
Moraleja de Enmedio,0.25773195876288674,0.6860910490014324,0.88,0.8450032446463336,0.5476348315266714,0.6130217249337249,0.58,0.57
Moralzarzal,0.20128824476650564,0.6683447573767062,0.58,0.8478260869565217,0.6984545875478142,0.9180619775752239,0.81,0.59
Morata de Tajuña,0.19319938176197834,0.6755868047489471,0.53,0.9,0.5356386513325796,0.5664428184682566,0.55,0.69
Navacerrada,0.536480686695279,0.6515884684955171,0.67,0.8104964308890331,0.5606493519826267,0.6396620448807231,0.6,0.56
Navalafuente,,0.6716955973925406,,0.78659961064244,0.5865660793356068,0.6732563044866287,0.63,0.6
Navalagamella,,0.6673477810918276,,0.7896171317326413,0.5145264149404393,0.531182389144105,0.52,0.52
Navalcarnero,0.22404779686333084,0.6688905269189402,0.58,0.7727287475665153,0.5055882827913463,0.5490069298179979,0.53,0.67
Navas del Rey,0.5,0.6661263476735604,0.68,0.8495295262816354,0.6483340008730326,0.6067912295772154,0.63,0.79
Nuevo Baztán,0.4807692307692307,0.663824512473592,0.56,0.8718689162881247,0.6120313901189228,0.7083227306485425,0.66,
Olmeda de las Fuentes,,0.6991850336260061,,0.8991239454899416,0.5910080661108875,0.6168387737450826,0.6,0.72
Orusco de Tajuña,,0.6558917091519283,,0.773264114211551,0.6474813284082644,0.7789107989705216,0.71,1.0
Pedrezuela,,0.6768686900544071,,0.7096528228423102,0.5107034959750925,0.541044336233075,0.53,0.75
Perales de Tajuña,0.4798464491362765,0.6690365415937596,0.71,0.8528877352368592,0.5306805359806347,0.531011382639401,0.53,
Pezuela de las Torres,,0.6669871438019707,,0.8206197274497081,0.5629060283005435,0.6351170948970504,0.6,0.59
Pozuelo del Rey,,0.6538964050143583,,0.7259571706683972,0.6803656073833896,0.7255779174069059,0.7,
Quijorna,,0.6883703342631746,,0.8522550292018171,0.6042685963249433,0.6170287520105349,0.61,0.64
Redueña,,0.6890621649388902,,0.7152011680726801,0.5244854248895597,0.5779333101246883,0.55,
