municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Horcajo de la Sierra-Aoslos;2;2;1;1;1;1;1;0;1
Horcajuelo de la Sierra;0;0;0;0;0;1;1;1;0
Hoyo de Manzanares;15;11;12;16;14;18;17;17;17
Humanes de Madrid;165;166;170;179;194;200;214;218;221
Leganés;1417;1417;1417;1447;1475;1520;1521;1506;1478
Loeches;113;117;129;128;131;128;137;139;133
Lozoya;0;0;1;2;3;5;3;3;3
Lozoyuela-Navas-Sieteiglesias;14;16;15;15;14;15;15;15;13
Madarcos;1;1;1;1;1;1;1;2;1
Madrid;17123;17246;18132;19200;20504;21561;23442;22702;22901
Majadahonda;153;152;154;166;179;168;167;185;204
Manzanares el Real;37;38;34;33;31;35;34;32;30
Meco;113;119;129;143;157;164;160;163;163
Mejorada del Campo;223;222;233;236;227;233;226;226;212
Miraflores de la Sierra;28;28;31;30;33;33;37;32;27
Molar (El);57;59;56;54;52;54;56;54;56
Molinos (Los);5;5;8;9;10;8;13;15;12
Montejo de la Sierra;0;0;0;0;0;0;1;1;1
Moraleja de Enmedio;72;71;70;74;71;72;76;81;80
Moralzarzal;48;45;44;43;43;52;54;57;53
Morata de Tajuña;50;59;57;57;61;63;62;64;60
Móstoles;1306;1294;1281;1285;1270;1316;1336;1284;1262
Navacerrada;1;0;1;1;2;5;7;4;6
Navalafuente;3;3;2;3;5;5;7;7;8
Navalagamella;10;10;11;12;15;12;13;10;10
Navalcarnero;181;193;199;204;216;225;218;226;223
Navarredonda y San Mamés;1;1;1;1;1;1;1;1;1
Navas del Rey;8;8;14;18;21;24;24;22;21
Nuevo Baztán;68;71;69;78;73;66;68;73;66
Olmeda de las Fuentes;3;3;3;2;4;4;4;3;3
Orusco de Tajuña;3;3;4;6;5;5;2;4;6
Paracuellos de Jarama;128;127;139;147;158;172;181;186;181
Parla;626;627;654;675;683;734;780;801;819
Patones;1;1;2;2;2;3;3;2;2
Pedrezuela;19;21;16;19;19;23;27;31;29
Pelayos de la Presa;6;5;3;5;8;7;8;8;10
Perales de Tajuña;21;22;20;17;18;18;17;17;17
Pezuela de las Torres;10;12;11;11;11;10;12;11;12
Pinilla del Valle;0;0;0;0;0;0;0;0;0
Pinto;349;360;382;404;437;458;476;479;475
Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0
Pozuelo de Alarcón;183;184;175;187;202;209;229;233;243
Pozuelo del Rey;10;11;14;14;18;16;15;17;14
Prádena del Rincón;0;0;0;0;0;0;0;2;2
Puebla de la Sierra;2;2;2;2;3;2;2;2;2
Puentes Viejas;5;3;7;6;9;9;9;7;7
Quijorna;25;25;26;26;31;33;34;39;35
Rascafría;6;9;9;8;7;8;8;9;8
Redueña;11;12;14;14;13;13;11;11;12
Ribatejada;11;7;7;7;7;6;6;5;6
Rivas-Vaciamadrid;727;764;805;810;841;871;872;856;840
Robledillo de la Jara;0;0;0;0;0;0;0;0;0
Robledo de Chavela;7;8;9;10;10;9;9;15;12
Robregordo;1;1;0;0;0;0;0;0;0
Rozas de Madrid (Las);232;226;226;249;259;274;300;277;285
Rozas de Puerto Real;6;6;7;7;5;5;5;11;6
San Agustín del Guadalix;67;65;66;65;64;66;64;68;76
San Fernando de Henares;479;489;481;487;492;484;511;495;499
San Lorenzo de El Escorial;45;37;40;39;41;40;43;48;46
San Martín de Valdeiglesias;21;23;21;19;21;23;22;24;20
San Martín de la Vega;150;174;183;200;197;196;204;190;180
San Sebastián de los Reyes;457;472;494;480;497;538;541;537;532
Santa María de la Alameda;9;8;10;10;10;11;8;9;10
Santorcaz;6;5;5;5;5;5;8;6;7
Santos de la Humosa (Los);16;16;18;18;19;25;27;27;27
Serna del Monte (La);1;1;1;1;1;1;1;1;1
Serranillos del Valle;61;66;70;68;66;69;66;73;73
Sevilla la Nueva;56;63;66;65;62;66;58;54;50
Somosierra;0;0;0;0;0;0;0;0;0
Soto del Real;36;36;33;28;31;34;36;32;34
Talamanca de Jarama;12;11;14;19;15;21;24;21;21
Tielmes;14;13;12;10;13;14;17;19;18
Titulcia;10;10;11;11;10;13;16;13;12
Torrejón de Ardoz;871;871;892;932;954;995;1038;1072;1040
Torrejón de Velasco;56;48;48;51;51;51;48;53;54
Torrejón de la Calzada;65;73;76;74;80;81;89;88;87
Torrelaguna;26;23;22;22;28;28;30;26;28
Torrelodones;44;41;44;43;47;51;51;53;56
Torremocha de Jarama;7;8;7;4;4;5;5;3;3
Torres de la Alameda;93;97;110;106;109;104;106;105;97
Tres Cantos;149;163;172;162;162;161;171;160;160
Valdaracete;0;1;1;1;1;1;1;1;1
Valdeavero;17;20;19;20;18;17;17;19;15
Valdelaguna;6;6;8;7;7;7;8;10;8
Valdemanco;10;10;7;7;7;7;7;8;6
Valdemaqueda;1;2;2;2;1;0;0;0;0
Valdemorillo;71;66;62;62;70;70;63;64;68
Valdemoro;553;565;593;626;614;623;639;654;652
Valdeolmos-Alalpardo;27;28;29;26;24;24;26;27;25
Valdepiélagos;1;2;3;2;3;3;3;3;3
Valdetorres de Jarama;28;31;23;26;23;26;29;28;29
Valdilecha;18;18;22;23;20;20;23;22;18
Valverde de Alcalá;4;4;4;4;5;7;7;8;8
Velilla de San Antonio;164;161;151;165;168;166;166;169;172
