municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Mejorada del Campo;581;611;588;520;508;629;616;565;511;540;550;537;495;490;605
Miraflores de la Sierra;144;115;122;110;115;133;117;123;113;116;127;138;125;135;145
Molar (El);110;111;156;122;140;171;207;183;167;179;162;171;150;150;160
Molinos (Los);76;76;77;83;81;77;89;114;103;110;105;105;105;120;130
Montejo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5
Moraleja de Enmedio;337;371;243;244;205;140;155;191;223;272;408;341;240;125;130
Moralzarzal;255;270;306;248;287;283;292;311;317;331;360;373;390;400;415
Morata de Tajuña;91;97;90;84;102;105;71;71;74;75;80;81;100;115;125
Móstoles;4302;4550;4371;4141;4158;7965;4424;4763;5024;5374;5552;5378;5455;5920;5685
Navacerrada;146;122;96;59;64;76;86;96;101;86;101;103;85;75;100
Navalafuente;10;10;15;14;15;14;32;49;64;65;43;32;30;30;25
Navalagamella;18;21;27;26;34;43;49;55;54;57;50;53;55;45;45
Navalcarnero;1133;1037;1176;1396;1436;1235;1243;1447;5495;5765;5817;5879;12285;3580;3060
Navarredonda y San Mamés;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Navas del Rey;27;30;29;35;26;27;36;55;56;62;66;89;60;75;50
Nuevo Baztán;118;117;118;128;131;136;141;144;146;158;161;162;145;180;185
Olmeda de las Fuentes;-;-;-;5;-;6;-;-;-;-;7;13;15;10;5
Orusco de Tajuña;8;6;8;6;8;8;10;11;7;8;9;11;15;15;20
Paracuellos de Jarama;573;803;696;730;738;819;900;1040;975;1041;1041;992;980;1035;950
Parla;1554;1576;1836;2070;1903;2111;2309;2457;2489;2546;2677;2792;2360;2510;2525
Patones;-;-;6;5;5;-;5;6;6;6;6;5;5;5;5
Pedrezuela;85;84;100;106;120;126;126;127;145;148;166;159;140;125;135
Pelayos de la Presa;33;28;27;26;21;25;35;32;42;47;41;45;55;65;65
Perales de Tajuña;26;65;22;29;27;30;43;43;50;50;63;62;70;80;80
Pezuela de las Torres;-;11;14;13;12;11;-;-;-;-;5;7;10;5;5
Pinilla del Valle;-;-;-;-;-;-;-;-;-;-;-;-;5;5;0
Pinto;1707;1695;1589;1558;1519;10801;1631;1668;2102;2129;2266;2261;2290;2270;2260
Piñuécar-Gandullas;-;5;-;-;-;-;-;-;-;-;-;-;5;5;5
