municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Cobeña;55;58;54;58;54;62;62;65;59
Collado Mediano;78;76;71;74;83;86;87;94;102
Collado Villalba;562;581;593;623;679;696;707;746;787
Colmenar Viejo;528;524;520;546;561;559;572;612;593
Colmenar de Oreja;178;163;160;159;161;173;179;187;186
Colmenar del Arroyo;28;32;28;30;31;27;29;26;28
Colmenarejo;108;102;115;115;117;113;117;119;130
Corpa;6;5;1;1;1;1;2;3;4
Coslada;977;1020;1005;1054;1114;1163;1184;1201;1216
Cubas de la Sagra;98;89;97;94;114;110;116;121;129
Daganzo de Arriba;89;100;98;97;114;113;104;109;103
Escorial (El);153;152;161;158;158;152;165;164;171
Estremera;31;29;26;25;28;23;23;20;20
Fresnedillas de la Oliva;17;17;14;16;17;17;19;19;19
Fresno de Torote;26;30;27;29;36;36;35;30;33
Fuenlabrada;2294;2305;2231;2324;2374;2404;2405;2461;2451
Fuente el Saz de Jarama;104;115;121;120;120;123;115;127;122
Fuentidueña de Tajo;18;22;19;21;25;26;26;34;33
Galapagar;346;370;389;385;391;411;424;455;457
Garganta de los Montes;13;11;12;12;13;13;12;13;13
Gargantilla del Lozoya y Pinilla de Buitrago;2;4;5;5;4;5;4;4;5
Gascones;4;4;6;5;4;4;5;6;8
Getafe;1553;1566;1619;1702;1743;1802;1835;1906;1927
Griñón;157;165;172;184;194;195;193;201;203
Guadalix de la Sierra;98;97;104;114;110;109;112;121;121
Guadarrama;157;163;179;181;183;204;202;207;210
Hiruela (La);0;0;0;0;0;0;0;0;0
Horcajo de la Sierra-Aoslos;2;2;2;2;2;2;2;1;1
Horcajuelo de la Sierra;8;9;6;5;5;5;5;3;3
Hoyo de Manzanares;76;83;78;78;72;72;70;73;78
Humanes de Madrid;508;517;536;550;590;633;629;662;667
Leganés;1806;1856;1867;1913;2016;2055;2115;2121;2180
Loeches;128;137;134;136;144;138;142;148;157
Lozoya;9;8;7;10;7;10;9;8;9
Lozoyuela-Navas-Sieteiglesias;18;18;20;19;22;21;24;21;25
Madarcos;0;1;0;0;0;0;0;0;0
Madrid;20358;20484;20636;21787;22579;23066;23478;24451;25375
Majadahonda;333;351;337;358;383;395;392;423;436
Manzanares el Real;91;97;101;110;125;131;133;129;123
Meco;184;188;189;204;206;220;224;224;246
Mejorada del Campo;405;414;422;440;457;456;461;502;505
Miraflores de la Sierra;93;90;91;94;101;112;112;112;112
Molar (El);79;90;90;94;95;104;115;119;121
Molinos (Los);79;82;87;77;78;81;85;89;90
Montejo de la Sierra;11;9;4;4;5;5;4;3;3
Moraleja de Enmedio;118;116;131;144;139;154;146;151;153
Moralzarzal;124;124;116;135;138;139;144;149;149
Morata de Tajuña;83;94;90;93;104;109;111;119;125
Móstoles;1967;1979;1961;2031;2079;2066;2087;2130;2100
Navacerrada;46;47;50;48;51;50;44;48;51
Navalafuente;11;11;13;16;18;14;13;13;16
Navalagamella;20;20;18;15;17;24;26;27;25
Navalcarnero;434;459;450;434;427;446;453;467;468
Navarredonda y San Mamés;2;2;2;2;2;2;2;2;2
Navas del Rey;49;48;52;48;49;56;54;63;56
Nuevo Baztán;108;109;115;124;132;117;120;128;129
Olmeda de las Fuentes;8;6;6;6;7;8;6;8;7
Orusco de Tajuña;7;9;6;9;14;13;12;16;14
Paracuellos de Jarama;183;195;196;218;240;237;236;246;248
Parla;1023;1048;1085;1146;1237;1273;1346;1374;1380
Patones;8;8;9;8;8;9;8;5;6
Pedrezuela;50;57;58;50;59;63;65;62;66
Pelayos de la Presa;39;37;35;41;40;45;51;56;56
Perales de Tajuña;43;42;45;41;41;42;44;51;52
Pezuela de las Torres;8;10;9;8;10;12;12;10;9
Pinilla del Valle;1;1;2;1;2;1;1;1;1
Pinto;445;457;465;471;504;512;500;511;504
Piñuécar-Gandullas;2;3;4;2;2;3;4;3;4
Pozuelo de Alarcón;447;447;496;547;552;555;571;550;553
Pozuelo del Rey;18;14;12;12;16;14;17;17;18
Prádena del Rincón;8;6;7;8;7;6;6;6;7
Puebla de la Sierra;0;0;1;0;0;0;0;0;0
Puentes Viejas;9;8;7;7;11;9;12;11;11
Quijorna;30;31;32;30;35;34;37;40;42
Rascafría;33;30;32;39;42;37;40;38;38
Redueña;1;1;3;5;4;3;3;2;2
Ribatejada;6;7;7;8;11;12;13;11;12
