municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pozuelo de Alarcón;38;44;51;50;54;49;51;54;55
Pozuelo del Rey;1;1;1;0;0;0;0;0;0
Prádena del Rincón;0;0;0;0;0;0;0;0;0
Puebla de la Sierra;0;0;0;0;0;0;0;0;0
Puentes Viejas;0;0;0;0;0;0;0;0;0
Quijorna;2;2;4;4;2;2;2;1;1
Rascafría;6;6;6;6;6;4;5;3;4
Redueña;0;0;0;0;0;0;0;0;0
Ribatejada;1;1;0;0;1;1;1;1;1
Rivas-Vaciamadrid;38;36;43;44;51;51;52;51;57
Robledillo de la Jara;0;0;0;0;0;0;0;0;0
Robledo de Chavela;1;2;4;4;4;4;4;4;4
Robregordo;0;0;0;0;0;0;0;0;0
Rozas de Madrid (Las);50;51;55;63;68;63;65;61;74
Rozas de Puerto Real;0;0;0;0;0;0;0;0;0
San Agustín del Guadalix;14;13;56;95;106;26;19;17;15
San Fernando de Henares;161;167;173;182;186;30;30;33;30
San Lorenzo de El Escorial;13;14;13;18;16;14;13;15;14
San Martín de Valdeiglesias;13;12;12;12;11;12;16;16;15
San Martín de la Vega;18;19;17;16;13;16;13;14;15
San Sebastián de los Reyes;62;69;69;83;87;135;133;136;133
Santa María de la Alameda;1;1;1;0;1;1;1;1;1
Santorcaz;0;0;0;0;0;0;0;0;0
Santos de la Humosa (Los);5;5;5;6;6;5;5;5;6
Serna del Monte (La);0;0;0;0;0;0;0;0;0
Serranillos del Valle;12;12;12;11;6;6;4;4;3
Sevilla la Nueva;2;2;5;5;5;5;4;5;5
Somosierra;0;0;0;0;0;0;0;0;0
Soto del Real;7;6;6;11;10;8;8;7;7
Talamanca de Jarama;6;6;6;5;5;4;4;5;5
Tielmes;4;4;4;4;2;1;3;1;2
Titulcia;1;1;2;3;2;1;1;2;2
Torrejón de Ardoz;52;50;51;57;50;49;47;49;48
Torrejón de Velasco;7;6;6;3;3;3;2;2;2
Torrejón de la Calzada;11;9;7;5;8;9;8;10;9
Torrelaguna;4;5;5;6;4;3;3;3;3
Torrelodones;6;6;4;6;5;5;11;15;12
Torremocha de Jarama;4;3;5;4;3;3;4;4;3
Torres de la Alameda;17;17;18;17;20;20;19;20;18
Tres Cantos;18;18;16;22;22;20;22;23;22
Valdaracete;1;1;0;3;4;3;4;4;4
Valdeavero;0;0;2;1;1;1;0;0;0
Valdelaguna;3;2;2;2;1;3;2;2;2
Valdemanco;1;1;0;0;0;1;0;1;1
Valdemaqueda;2;2;2;2;2;2;2;2;2
Valdemorillo;6;7;6;6;5;6;7;6;7
Valdemoro;49;49;50;60;62;56;59;59;59
Valdeolmos-Alalpardo;4;2;2;3;2;2;2;2;2
Valdepiélagos;3;3;3;4;4;5;5;5;5
Valdetorres de Jarama;3;2;2;3;1;0;0;2;2
Valdilecha;4;4;4;5;5;5;4;4;4
Valverde de Alcalá;0;0;0;0;0;0;0;0;0
Velilla de San Antonio;18;12;10;9;9;12;10;10;8
Vellón (El);3;3;3;4;6;7;6;7;7
Venturada;1;1;2;2;2;2;2;2;2
Villa del Prado;6;4;4;3;3;3;3;4;3
Villaconejos;7;9;9;10;8;8;11;7;7
