municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Navarredonda y San Mamés;0;0;0;0;0;0;0;0;0
Navas del Rey;5;4;5;4;4;4;4;2;2
Nuevo Baztán;10;9;7;8;8;12;12;9;6
Olmeda de las Fuentes;1;2;2;2;2;2;2;2;2
Orusco de Tajuña;1;2;1;1;1;1;2;2;1
Paracuellos de Jarama;35;34;42;40;48;44;40;46;52
Parla;165;150;154;149;152;162;155;146;146
Patones;0;0;0;0;0;0;0;0;0
Pedrezuela;10;10;12;9;9;10;12;13;6
Pelayos de la Presa;4;4;5;5;4;4;4;5;4
Perales de Tajuña;6;5;6;7;3;4;4;4;4
Pezuela de las Torres;0;0;0;0;0;1;2;3;2
Pinilla del Valle;0;0;0;0;0;0;0;0;0
Pinto;103;100;100;109;105;104;100;91;94
Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0
Pozuelo de Alarcón;340;384;398;405;419;434;431;432;444
Pozuelo del Rey;1;0;0;0;0;0;0;0;0
Prádena del Rincón;0;1;1;0;0;0;0;0;0
Puebla de la Sierra;0;0;0;0;0;0;0;0;0
Puentes Viejas;0;0;0;1;1;1;1;2;1
Quijorna;3;5;5;5;4;3;5;6;4
Rascafría;4;4;3;3;2;2;2;2;2
Redueña;1;1;1;1;1;1;1;0;0
Ribatejada;0;0;1;1;1;1;2;2;2
Rivas-Vaciamadrid;172;186;193;188;204;207;207;191;193
Robledillo de la Jara;0;0;0;0;0;0;0;0;0
Robledo de Chavela;11;11;7;6;6;8;7;6;6
Robregordo;0;0;0;0;0;0;0;0;0
Rozas de Madrid (Las);346;367;378;396;409;401;398;394;386
Rozas de Puerto Real;1;2;0;0;1;0;0;1;1
San Agustín del Guadalix;22;26;30;24;23;27;30;30;29
San Fernando de Henares;75;73;71;67;66;69;67;62;59
San Lorenzo de El Escorial;34;31;36;40;36;37;39;41;43
San Martín de Valdeiglesias;16;13;14;16;16;15;17;20;19
San Martín de la Vega;26;29;29;30;31;33;32;33;37
San Sebastián de los Reyes;222;236;247;261;267;270;257;254;249
Santa María de la Alameda;2;2;2;2;2;2;2;3;3
Santorcaz;0;0;0;0;0;0;0;0;0
Santos de la Humosa (Los);4;4;1;3;2;2;1;0;0
Serna del Monte (La);0;0;1;1;0;0;0;0;0
Serranillos del Valle;6;6;5;7;6;7;6;8;9
Sevilla la Nueva;25;24;30;32;32;28;29;27;25
Somosierra;0;0;0;0;0;0;0;0;0
Soto del Real;17;17;16;17;20;17;14;20;21
Talamanca de Jarama;4;7;3;4;4;4;4;3;3
Tielmes;5;5;5;5;5;7;8;6;5
Titulcia;1;1;1;2;3;3;1;1;2
Torrejón de Ardoz;204;191;186;198;189;201;193;184;173
Torrejón de Velasco;7;6;6;5;6;7;6;5;6
Torrejón de la Calzada;20;22;22;25;23;22;21;18;17
Torrelaguna;13;14;12;15;12;12;13;12;13
Torrelodones;66;78;85;90;95;102;104;105;102
Torremocha de Jarama;2;2;2;2;1;1;1;1;1
Torres de la Alameda;11;13;12;16;16;13;15;14;16
Tres Cantos;121;111;109;111;113;115;115;116;118
Valdaracete;0;0;0;0;0;0;0;0;0
Valdeavero;5;5;5;5;5;2;1;1;2
Valdelaguna;0;0;0;0;0;0;0;2;3
Valdemanco;1;1;1;1;2;1;1;3;3
Valdemaqueda;0;0;0;0;0;0;0;0;0
Valdemorillo;26;28;29;30;35;32;33;34;33
Valdemoro;119;124;124;133;123;125;120;120;123
Valdeolmos-Alalpardo;8;10;8;11;9;6;6;6;6
Valdepiélagos;0;0;0;0;0;0;1;1;1
Valdetorres de Jarama;7;6;8;7;10;8;9;8;7
Valdilecha;6;6;6;6;7;7;7;8;8
Valverde de Alcalá;0;0;0;0;1;1;0;0;0
Velilla de San Antonio;20;18;20;20;18;19;20;21;18
Vellón (El);2;2;2;2;2;2;2;2;2
Venturada;4;6;7;5;9;11;10;11;10
Villa del Prado;5;4;7;8;9;8;9;9;9
Villaconejos;8;8;8;6;4;6;6;6;8
Villalbilla;30;34;32;34;31;29;29;31;29
Villamanrique de Tajo;1;2;1;0;0;0;1;1;0
Villamanta;6;5;4;4;6;6;5;5;5
Villamantilla;1;2;2;3;3;2;2;2;2
Villanueva de Perales;2;4;4;6;2;3;3;3;3
Villanueva de la Cañada;49;50;54;59;61;68;66;76;72
Villanueva del Pardillo;30;32;31;40;41;39;38;36;40
Villar del Olmo;3;5;5;4;3;3;3;3;3
Villarejo de Salvanés;15;12;15;15;15;16;14;11;11
Villaviciosa de Odón;75;85;85;81;88;83;86;82;86
Villavieja del Lozoya;0;0;0;0;2;3;3;3;3
Zarzalejo;2;2;3;4;5;5;5;5;5
