municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Soto del Real;19;18;15;15;14;12;12;12;13;13;14;17;20;20;25
Talamanca de Jarama;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Tielmes;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Titulcia;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Torrejón de Ardoz;117;114;115;115;116;153;162;185;192;230;190;185;220;245;245
Torrejón de Velasco;-;-;-;-;-;-;-;5;-;5;-;5;5;5;5
Torrejón de la Calzada;16;17;16;15;17;18;22;20;22;26;25;27;25;30;35
Torrelaguna;-;5;-;-;-;-;-;-;-;-;-;-;5;5;5
Torrelodones;52;45;50;48;50;58;59;69;76;89;87;89;100;110;120
Torremocha de Jarama;13;11;7;-;-;-;-;-;-;-;-;-;5;5;5
Torres de la Alameda;7;-;5;-;-;-;-;-;-;5;-;-;5;10;10
Tres Cantos;153;70;62;70;65;106;122;131;148;155;121;115;165;165;165
Valdaracete;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Valdeavero;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Valdelaguna;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Valdemanco;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Valdemaqueda;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5
Valdemorillo;32;32;25;22;24;30;33;41;42;46;24;31;40;45;45
Valdemoro;67;72;59;56;69;63;79;92;114;109;113;113;110;115;130
Valdeolmos-Alalpardo;-;-;5;-;12;11;14;15;17;24;16;17;10;10;10
Valdepiélagos;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Valdetorres de Jarama;-;-;-;-;-;-;9;10;10;15;17;19;20;30;30
Valdilecha;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Valverde de Alcalá;-;-;6;-;-;-;-;-;-;-;-;-;0;0;0
Velilla de San Antonio;12;20;19;18;19;18;12;13;13;16;16;24;20;25;25
Vellón (El);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Venturada;-;6;5;-;5;-;-;6;-;5;6;10;10;10;10
Villa del Prado;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5
Villaconejos;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5
Villalbilla;17;18;13;21;22;24;24;25;26;32;30;31;35;35;35
Villamanrique de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Villamanta;-;-;-;-;-;-;-;-;-;-;-;-;0;5;10
Villamantilla;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Villanueva de Perales;-;-;-;-;-;5;7;6;6;6;6;6;5;5;5
Villanueva de la Cañada;63;64;55;59;61;64;77;81;121;133;131;128;140;155;155
Villanueva del Pardillo;24;25;24;23;25;34;37;43;52;58;53;51;55;70;60
Villar del Olmo;-;-;-;-;-;5;10;7;-;-;-;-;5;5;5
Villarejo de Salvanés;-;-;-;-;-;20;13;25;19;17;-;-;5;5;5
Villaviciosa de Odón;95;107;97;105;104;111;132;140;162;172;177;170;220;230;260
Villavieja del Lozoya;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Zarzalejo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Sin municipio asignado;141;144;150;156;175;193;217;250;270;309;329;319;345;390;455
